time,from_node,to_node,material,flow
0,0,1,product_0,0.0
0,0,1,product_1,0.0
0,0,1,resource_0,0.0
0,0,1,resource_1,0.0
0,0,5,product_0,0.0
0,0,5,product_1,0.0
0,0,5,resource_0,0.0
0,0,5,resource_1,0.0
0,1,2,product_0,0.0
0,1,2,product_1,0.0
0,1,2,resource_0,0.0
0,1,2,resource_1,0.0
0,1,6,product_0,0.0
0,1,6,product_1,0.0
0,1,6,resource_0,0.0
0,1,6,resource_1,0.0
0,1,0,product_0,0.0
0,1,0,product_1,0.0
0,1,0,resource_0,0.0
0,1,0,resource_1,0.0
0,2,3,product_0,6.0
0,2,3,product_1,12.0
0,2,3,resource_0,0.0
0,2,3,resource_1,0.0
0,2,7,product_0,3.0
0,2,7,product_1,10.0
0,2,7,resource_0,5.0
0,2,7,resource_1,0.0
0,2,1,product_0,0.0
0,2,1,product_1,0.0
0,2,1,resource_0,0.0
0,2,1,resource_1,0.0
0,3,4,product_0,0.0
0,3,4,product_1,0.0
0,3,4,resource_0,0.0
0,3,4,resource_1,0.0
0,3,8,product_0,0.0
0,3,8,product_1,0.0
0,3,8,resource_0,12.0
0,3,8,resource_1,0.0
0,3,2,product_0,0.0
0,3,2,product_1,0.0
0,3,2,resource_0,36.0
0,3,2,resource_1,0.0
0,4,9,product_0,0.0
0,4,9,product_1,0.0
0,4,9,resource_0,0.0
0,4,9,resource_1,0.0
0,4,3,product_0,0.0
0,4,3,product_1,0.0
0,4,3,resource_0,0.0
0,4,3,resource_1,0.0
0,5,6,product_0,0.0
0,5,6,product_1,0.0
0,5,6,resource_0,0.0
0,5,6,resource_1,0.0
0,5,10,product_0,0.0
0,5,10,product_1,0.0
0,5,10,resource_0,0.0
0,5,10,resource_1,0.0
0,5,0,product_0,0.0
0,5,0,product_1,0.0
0,5,0,resource_0,0.0
0,5,0,resource_1,0.0
0,6,7,product_0,0.0
0,6,7,product_1,0.0
0,6,7,resource_0,0.0
0,6,7,resource_1,0.0
0,6,11,product_0,0.0
0,6,11,product_1,0.0
0,6,11,resource_0,0.0
0,6,11,resource_1,0.0
0,6,1,product_0,0.0
0,6,1,product_1,0.0
0,6,1,resource_0,0.0
0,6,1,resource_1,0.0
0,6,5,product_0,0.0
0,6,5,product_1,0.0
0,6,5,resource_0,0.0
0,6,5,resource_1,0.0
0,7,8,product_0,0.0
0,7,8,product_1,0.0
0,7,8,resource_0,0.0
0,7,8,resource_1,0.0
0,7,12,product_0,0.0
0,7,12,product_1,0.0
0,7,12,resource_0,0.0
0,7,12,resource_1,0.0
0,7,2,product_0,0.0
0,7,2,product_1,0.0
0,7,2,resource_0,0.0
0,7,2,resource_1,0.0
0,7,6,product_0,0.0
0,7,6,product_1,0.0
0,7,6,resource_0,0.0
0,7,6,resource_1,0.0
0,8,9,product_0,0.0
0,8,9,product_1,0.0
0,8,9,resource_0,0.0
0,8,9,resource_1,0.0
0,8,13,product_0,0.0
0,8,13,product_1,0.0
0,8,13,resource_0,0.0
0,8,13,resource_1,0.0
0,8,3,product_0,0.0
0,8,3,product_1,0.0
0,8,3,resource_0,0.0
0,8,3,resource_1,0.0
0,8,7,product_0,0.0
0,8,7,product_1,0.0
0,8,7,resource_0,0.0
0,8,7,resource_1,12.0
0,9,14,product_0,0.0
0,9,14,product_1,0.0
0,9,14,resource_0,0.0
0,9,14,resource_1,0.0
0,9,4,product_0,0.0
0,9,4,product_1,0.0
0,9,4,resource_0,0.0
0,9,4,resource_1,0.0
0,9,8,product_0,0.0
0,9,8,product_1,0.0
0,9,8,resource_0,0.0
0,9,8,resource_1,0.0
0,10,11,product_0,0.0
0,10,11,product_1,0.0
0,10,11,resource_0,0.0
0,10,11,resource_1,0.0
0,10,15,product_0,0.0
0,10,15,product_1,0.0
0,10,15,resource_0,0.0
0,10,15,resource_1,0.0
0,10,5,product_0,0.0
0,10,5,product_1,0.0
0,10,5,resource_0,0.0
0,10,5,resource_1,0.0
0,11,12,product_0,0.0
0,11,12,product_1,0.0
0,11,12,resource_0,0.0
0,11,12,resource_1,0.0
0,11,16,product_0,0.0
0,11,16,product_1,0.0
0,11,16,resource_0,0.0
0,11,16,resource_1,0.0
0,11,6,product_0,0.0
0,11,6,product_1,0.0
0,11,6,resource_0,0.0
0,11,6,resource_1,0.0
0,11,10,product_0,0.0
0,11,10,product_1,0.0
0,11,10,resource_0,0.0
0,11,10,resource_1,0.0
0,12,13,product_0,0.0
0,12,13,product_1,0.0
0,12,13,resource_0,0.0
0,12,13,resource_1,0.0
0,12,17,product_0,0.0
0,12,17,product_1,0.0
0,12,17,resource_0,0.0
0,12,17,resource_1,0.0
0,12,7,product_0,0.0
0,12,7,product_1,0.0
0,12,7,resource_0,0.0
0,12,7,resource_1,0.0
0,12,11,product_0,0.0
0,12,11,product_1,0.0
0,12,11,resource_0,0.0
0,12,11,resource_1,0.0
0,13,14,product_0,0.0
0,13,14,product_1,0.0
0,13,14,resource_0,0.0
0,13,14,resource_1,0.0
0,13,18,product_0,0.0
0,13,18,product_1,0.0
0,13,18,resource_0,0.0
0,13,18,resource_1,0.0
0,13,8,product_0,0.0
0,13,8,product_1,0.0
0,13,8,resource_0,0.0
0,13,8,resource_1,0.0
0,13,12,product_0,0.0
0,13,12,product_1,0.0
0,13,12,resource_0,0.0
0,13,12,resource_1,0.0
0,14,19,product_0,0.0
0,14,19,product_1,0.0
0,14,19,resource_0,0.0
0,14,19,resource_1,0.0
0,14,9,product_0,0.0
0,14,9,product_1,0.0
0,14,9,resource_0,0.0
0,14,9,resource_1,0.0
0,14,13,product_0,0.0
0,14,13,product_1,0.0
0,14,13,resource_0,0.0
0,14,13,resource_1,0.0
0,15,16,product_0,0.0
0,15,16,product_1,0.0
0,15,16,resource_0,0.0
0,15,16,resource_1,0.0
0,15,20,product_0,0.0
0,15,20,product_1,0.0
0,15,20,resource_0,0.0
0,15,20,resource_1,0.0
0,15,10,product_0,0.0
0,15,10,product_1,0.0
0,15,10,resource_0,0.0
0,15,10,resource_1,0.0
0,16,17,product_0,3.0
0,16,17,product_1,2.0
0,16,17,resource_0,5.0
0,16,17,resource_1,8.0
0,16,21,product_0,0.0
0,16,21,product_1,0.0
0,16,21,resource_0,0.0
0,16,21,resource_1,0.0
0,16,11,product_0,0.0
0,16,11,product_1,0.0
0,16,11,resource_0,0.0
0,16,11,resource_1,0.0
0,16,15,product_0,0.0
0,16,15,product_1,0.0
0,16,15,resource_0,0.0
0,16,15,resource_1,0.0
0,17,18,product_0,0.0
0,17,18,product_1,0.0
0,17,18,resource_0,0.0
0,17,18,resource_1,0.0
0,17,22,product_0,0.0
0,17,22,product_1,0.0
0,17,22,resource_0,0.0
0,17,22,resource_1,0.0
0,17,12,product_0,0.0
0,17,12,product_1,0.0
0,17,12,resource_0,0.0
0,17,12,resource_1,0.0
0,17,16,product_0,0.0
0,17,16,product_1,0.0
0,17,16,resource_0,0.0
0,17,16,resource_1,0.0
0,18,19,product_0,0.0
0,18,19,product_1,0.0
0,18,19,resource_0,0.0
0,18,19,resource_1,0.0
0,18,23,product_0,0.0
0,18,23,product_1,0.0
0,18,23,resource_0,0.0
0,18,23,resource_1,0.0
0,18,13,product_0,0.0
0,18,13,product_1,0.0
0,18,13,resource_0,0.0
0,18,13,resource_1,0.0
0,18,17,product_0,0.0
0,18,17,product_1,0.0
0,18,17,resource_0,0.0
0,18,17,resource_1,0.0
0,19,24,product_0,0.0
0,19,24,product_1,0.0
0,19,24,resource_0,0.0
0,19,24,resource_1,0.0
0,19,14,product_0,0.0
0,19,14,product_1,0.0
0,19,14,resource_0,0.0
0,19,14,resource_1,0.0
0,19,18,product_0,0.0
0,19,18,product_1,0.0
0,19,18,resource_0,0.0
0,19,18,resource_1,0.0
0,20,21,product_0,0.0
0,20,21,product_1,0.0
0,20,21,resource_0,0.0
0,20,21,resource_1,0.0
0,20,15,product_0,0.0
0,20,15,product_1,0.0
0,20,15,resource_0,0.0
0,20,15,resource_1,0.0
0,21,22,product_0,0.0
0,21,22,product_1,0.0
0,21,22,resource_0,0.0
0,21,22,resource_1,0.0
0,21,16,product_0,0.0
0,21,16,product_1,0.0
0,21,16,resource_0,0.0
0,21,16,resource_1,18.0
0,21,20,product_0,0.0
0,21,20,product_1,0.0
0,21,20,resource_0,0.0
0,21,20,resource_1,0.0
0,22,23,product_0,0.0
0,22,23,product_1,0.0
0,22,23,resource_0,0.0
0,22,23,resource_1,0.0
0,22,17,product_0,0.0
0,22,17,product_1,0.0
0,22,17,resource_0,0.0
0,22,17,resource_1,0.0
0,22,21,product_0,0.0
0,22,21,product_1,0.0
0,22,21,resource_0,0.0
0,22,21,resource_1,0.0
0,23,24,product_0,0.0
0,23,24,product_1,0.0
0,23,24,resource_0,0.0
0,23,24,resource_1,0.0
0,23,18,product_0,0.0
0,23,18,product_1,0.0
0,23,18,resource_0,0.0
0,23,18,resource_1,0.0
0,23,22,product_0,0.0
0,23,22,product_1,0.0
0,23,22,resource_0,0.0
0,23,22,resource_1,0.0
0,24,19,product_0,0.0
0,24,19,product_1,0.0
0,24,19,resource_0,0.0
0,24,19,resource_1,0.0
0,24,23,product_0,0.0
0,24,23,product_1,0.0
0,24,23,resource_0,0.0
0,24,23,resource_1,0.0
